freq,psd_x,psd_y,psd_z,psd_xyz
185.0,1.167e+04,1.602e+02,1.213e+02,1.195e+04
186.6,9.328e+03,1.379e+02,1.624e+02,9.628e+03
188.2,6.066e+03,1.443e+02,2.005e+02,6.411e+03
189.7,3.247e+03,1.957e+02,2.108e+02,3.653e+03
191.3,2.405e+03,3.133e+02,2.297e+02,2.948e+03
192.9,3.407e+03,4.155e+02,2.591e+02,4.081e+03
194.5,5.728e+03,5.196e+02,2.874e+02,6.535e+03
196.0,9.385e+03,6.553e+02,2.935e+02,1.033e+04
197.6,1.530e+04,8.224e+02,2.876e+02,1.641e+04
199.2,2.178e+04,8.964e+02,1.983e+02,2.287e+04
