freq,psd_x,psd_y,psd_z,psd_xyz
177.2,4.004e+02,2.315e+03,7.189e+02,3.434e+03
178.8,5.836e+02,2.443e+03,7.413e+02,3.768e+03
180.4,7.597e+02,2.513e+03,7.492e+02,4.022e+03
181.9,9.030e+02,2.425e+03,6.856e+02,4.014e+03
183.5,1.133e+03,2.065e+03,5.715e+02,3.770e+03
185.1,1.390e+03,1.795e+03,4.659e+02,3.651e+03
186.6,1.553e+03,1.694e+03,3.973e+02,3.645e+03
188.2,1.574e+03,1.635e+03,3.330e+02,3.542e+03
189.8,1.557e+03,1.515e+03,2.831e+02,3.354e+03
191.3,1.494e+03,1.430e+03,2.353e+02,3.159e+03
192.9,1.247e+03,1.495e+03,1.934e+02,2.935e+03
194.5,1.250e+03,1.728e+03,1.825e+02,3.160e+03
196.1,1.652e+03,2.130e+03,2.044e+02,3.987e+03
197.6,2.154e+03,2.741e+03,2.783e+02,5.173e+03
199.2,2.459e+03,3.424e+03,3.670e+02,6.250e+03
